price,m2_price,square,rooms,floor,floors,condition,condition_encoded
110880,720,154,4,12,14,под самоотделку (ПСО),3
57000,740,77,2,5,12,под самоотделку (ПСО),3
57750,750,77,2,5,12,под самоотделку (ПСО),3
55000,1279,43,1,1,12,хорошее,2
97000,1276,76,2,10,12,евроремонт,4
160000,1455,110,3,3,3,евроремонт,4
158990,880,181,4,9,14,под самоотделку (ПСО),3
68000,1283,53,1,7,9,евроремонт,4
57500,1198,48,2,8,10,хорошее,2
60000,1364,44,1,8,12,евроремонт,4
41500,1383,30,1,4,4,хорошее,2
57500,1198,48,2,8,10,хорошее,2
73000,1123,65,3,4,12,под самоотделку (ПСО),3
129600,810,160,4,4,16,под самоотделку (ПСО),3
124820,790,158,4,7,14,под самоотделку (ПСО),3
84240,810,104,3,3,16,под самоотделку (ПСО),3
78000,963,81,3,1,9,евроремонт,4
112000,1244,90,3,13,13,евроремонт,4
112000,1244,90,3,13,13,евроремонт,4
65500,978,67,2,3,9,хорошее,2
51000,1062,48,1,7,9,евроремонт,4
73000,869,84,2,4,5,хорошее,2
65500,978,67,2,3,8,евроремонт,4
38500,1167,33,1,4,9,хорошее,2
92000,958,96,3,10,12,под самоотделку (ПСО),3
90000,909,99,3,1,9,евроремонт,4
63000,1370,46,1,6,9,евроремонт,4
73000,1123,65,3,4,12,евроремонт,4
42800,951,45,1,8,9,хорошее,2
107500,1250,86,3,6,8,под самоотделку (ПСО),3
47000,1093,43,2,4,4,хорошее,2
39000,1300,30,1,4,4,евроремонт,4
35500,856,41,1,14,14,под самоотделку (ПСО),3
47000,1093,43,2,4,4,евроремонт,4
75000,843,89,3,7,12,под самоотделку (ПСО),3
58000,784,74,2,8,9,под самоотделку (ПСО),3
50000,1111,45,1,12,12,евроремонт,4
54500,1090,50,2,1,10,среднее,1
70000,1207,58,3,2,4,евроремонт,4
52500,868,60,2,3,15,под самоотделку (ПСО),3
69000,972,71,2,2,10,евроремонт,4
57000,877,65,2,3,10,евроремонт,4
79970,1095,73,2,6,16,под самоотделку (ПСО),3
100000,1351,74,2,5,11,евроремонт,4
58000,784,74,2,8,9,под самоотделку (ПСО),3
107000,1039,103,3,11,16,под самоотделку (ПСО),3
96600,1150,84,2,10,12,под самоотделку (ПСО),3
65000,1121,58,3,1,4,евроремонт,4
74000,1057,70,2,8,9,евроремонт,4
49000,1021,48,1,2,10,евроремонт,4
67500,1125,60,2,3,12,евроремонт,4
103500,1056,98,3,7,9,евроремонт,4
38500,1041,37,1,10,10,евроремонт,4
42500,802,53,2,10,10,под самоотделку (ПСО),3
58000,921,63,2,7,12,под самоотделку (ПСО),3
61778,950,65,2,3,14,под самоотделку (ПСО),3
76000,710,107,3,11,12,под самоотделку (ПСО),3
45000,1098,41,2,1,4,хорошее,2
49500,1031,48,1,1,9,хорошее,2
268000,2062,130,4,11,13,евроремонт,4
37000,1233,30,1,3,4,среднее,1
83000,1129,74,3,6,9,хорошее,2
51000,1186,43,1,4,12,евроремонт,4
85000,1214,70,2,7,9,хорошее,2
78000,1393,56,2,7,12,хорошее,2
98000,1181,83,2,5,10,хорошее,2
67500,993,68,2,9,9,евроремонт,4
195000,1054,185,5,1,6,хорошее,2
139500,1116,125,3,9,14,хорошее,2
29500,819,36,1,9,12,евроремонт,4
143000,851,168,4,2,3,хорошее,2
67000,1117,60,3,9,9,хорошее,2
82500,1179,70,2,2,12,евроремонт,4
55000,1279,43,1,3,10,хорошее,2
139500,996,140,3,3,6,евроремонт,4
125000,1667,75,2,12,12,под самоотделку (ПСО),3
67500,1125,60,2,9,9,хорошее,2
63500,1114,57,2,9,10,под самоотделку (ПСО),3
67000,1117,60,2,1,9,хорошее,2
55000,1078,51,2,2,3,хорошее,2
67500,1164,58,3,4,5,хорошее,2
185000,1303,142,3,2,4,хорошее,2
39500,1317,30,1,1,4,хорошее,2
53500,1115,48,1,1,14,хорошее,2
180000,1160,155,4,1,3,евроремонт,4
85000,966,88,4,9,9,хорошее,2
48000,762,63,2,3,12,под самоотделку (ПСО),3
66000,1375,48,2,8,9,евроремонт,4
47500,1105,43,1,5,9,хорошее,2
55000,747,74,2,1,9,под самоотделку (ПСО),3
63000,1086,58,1,6,10,под самоотделку (ПСО),3
90000,1268,71,3,4,5,хорошее,2
210000,1167,180,3,2,11,евроремонт,4
136000,932,146,3,10,10,евроремонт,4
39900,725,55,1,11,16,под самоотделку (ПСО),3
92500,1250,74,2,14,19,под самоотделку (ПСО),3
64500,1402,46,1,12,13,евроремонт,4
42500,966,44,1,2,9,хорошее,2
44000,1128,39,1,9,12,хорошее,2
55000,743,74,2,1,9,под самоотделку (ПСО),3
300000,1875,160,4,2,8,среднее,1
97600,800,122,3,11,16,хорошее,2
175000,1667,105,3,4,8,евроремонт,4
65838,650,101,3,7,12,под самоотделку (ПСО),3
180000,1161,155,4,1,3,евроремонт,4
77000,1027,75,3,6,9,под самоотделку (ПСО),3
26700,621,43,1,6,16,хорошее,2
81500,867,94,2,9,9,хорошее,2
128750,1030,125,4,10,10,хорошее,2
55800,962,58,3,5,5,хорошее,2
58500,1383,42,1,8,9,хорошее,2
95000,913,104,3,3,9,под самоотделку (ПСО),3
67900,1095,62,3,5,5,евроремонт,4
43000,1103,39,1,9,11,среднее,1
97000,968,100,2,3,14,хорошее,2
63000,1370,46,1,8,12,под самоотделку (ПСО),3
77500,1140,68,2,5,14,хорошее,2
28300,690,41,1,7,14,евроремонт,4
55500,1261,44,1,10,13,евроремонт,4
82000,828,99,3,9,14,под самоотделку (ПСО),3
55000,1222,45,2,4,4,евроремонт,4
93000,1224,76,2,3,12,евроремонт,4
15500,969,16,1,5,5,хорошее,2
66000,985,67,2,4,14,под самоотделку (ПСО),3
43500,1012,43,2,1,3,хорошее,2
81000,818,99,3,3,14,под самоотделку (ПСО),3
128750,1030,125,4,10,14,под самоотделку (ПСО),3
52000,981,53,1,3,9,евроремонт,4
60000,1200,50,1,11,12,евроремонт,4
53168,765,70,2,14,14,под самоотделку (ПСО),3
119600,1150,104,3,4,14,под самоотделку (ПСО),3
40000,1212,33,1,4,4,среднее,1
95160,1220,78,2,5,18,под самоотделку (ПСО),3
51415,910,56,2,4,11,под самоотделку (ПСО),3
65108,820,79,2,4,12,под самоотделку (ПСО),3
110000,880,125,3,11,12,под самоотделку (ПСО),3
87550,850,103,3,3,12,под самоотделку (ПСО),3
76000,950,80,2,11,12,под самоотделку (ПСО),3
15500,969,16,1,3,4,хорошее,2
72240,840,86,2,4,12,под самоотделку (ПСО),3
37500,798,47,1,2,12,под самоотделку (ПСО),3
101250,750,135,3,7,14,под самоотделку (ПСО),3
67500,1125,60,3,2,10,хорошее,2
58500,1245,47,2,3,10,под самоотделку (ПСО),3
40000,1212,33,1,4,4,евроремонт,4
73500,919,80,2,3,10,хорошее,2
83000,1092,76,2,8,10,евроремонт,4
80000,1143,70,2,8,10,под самоотделку (ПСО),3
60000,857,70,3,6,6,евроремонт,4
25500,593,43,1,5,5,под самоотделку (ПСО),3
62500,1420,44,2,8,10,евроремонт,4
52700,850,62,2,9,14,хорошее,2
70500,1102,64,2,7,10,евроремонт,4
106000,1029,103,3,11,16,под самоотделку (ПСО),3
89500,810,110,3,6,14,под самоотделку (ПСО),3
54500,781,70,2,14,14,под самоотделку (ПСО),3
98400,820,120,3,8,8,под самоотделку (ПСО),3
105000,1129,93,3,9,10,евроремонт,4
71000,1651,43,1,4,12,евроремонт,4
34600,844,41,1,5,9,под самоотделку (ПСО),3
67000,838,80,3,10,10,под самоотделку (ПСО),3
45000,1023,44,1,7,9,под самоотделку (ПСО),3
109000,1019,107,3,7,8,хорошее,2
37500,815,46,1,2,10,под самоотделку (ПСО),3
58000,1349,43,2,1,5,хорошее,2
44500,1112,40,1,10,10,хорошее,2
51000,1186,43,1,4,12,хорошее,2
145000,1051,138,3,8,13,хорошее,2
46000,1070,43,2,3,3,хорошее,2
60000,882,68,2,5,9,евроремонт,4
60000,1277,47,2,3,14,под самоотделку (ПСО),3
160000,1818,88,2,7,13,хорошее,2
64000,1000,64,2,9,12,хорошее,2
73000,1197,61,2,3,10,хорошее,2
140000,1129,124,4,12,14,хорошее,2
127000,1270,100,4,5,9,среднее,1
63000,1212,52,2,7,9,евроремонт,4
80500,856,94,2,9,10,хорошее,2
113000,1009,112,3,6,9,хорошее,2
82000,1025,80,3,2,9,под самоотделку (ПСО),3
87500,1042,84,2,5,12,под самоотделку (ПСО),3
62500,1025,61,3,5,5,среднее,1
46500,1134,41,2,3,5,хорошее,2
138500,989,140,3,3,6,хорошее,2
68500,1022,67,2,4,12,под самоотделку (ПСО),3
128000,977,131,3,10,11,евроремонт,4
48000,857,56,1,4,9,под самоотделку (ПСО),3
63000,1370,46,1,8,12,евроремонт,4
72500,1007,72,3,2,5,среднее,1
66000,825,80,2,9,10,хорошее,2
19500,886,22,1,5,5,хорошее,2
72240,840,86,2,9,12,под самоотделку (ПСО),3
185000,954,194,4,3,6,хорошее,2
82000,1025,80,3,2,9,хорошее,2
83000,1221,68,3,9,9,хорошее,2
188000,1146,164,4,8,9,хорошее,2
285000,1425,200,4,10,13,хорошее,2
57000,950,60,2,4,9,среднее,1
114000,991,115,4,9,10,хорошее,2
185000,1000,185,4,10,11,хорошее,2
47000,1382,34,1,5,9,среднее,1
37000,1233,30,1,1,4,хорошее,2
62000,954,65,3,3,3,евроремонт,4
44900,1044,43,2,1,3,среднее,1
135000,1089,124,4,12,15,хорошее,2
70000,1148,61,3,9,9,хорошее,2
39000,1182,33,1,2,9,среднее,1
77000,1711,45,2,9,12,хорошее,2
85000,1133,75,2,6,9,хорошее,2
64000,1016,63,3,9,9,хорошее,2
37000,822,45,2,1,4,евроремонт,4
74000,1104,67,3,2,5,евроремонт,4
59000,1017,58,3,4,4,хорошее,2
105000,946,111,3,5,6,хорошее,2
36000,857,42,1,2,14,под самоотделку (ПСО),3
44500,927,48,1,7,9,среднее,1
38000,1118,34,1,6,9,среднее,1
48000,1371,35,1,2,9,среднее,1
250000,2232,112,3,5,8,евроремонт,4
160000,1600,100,3,7,10,евроремонт,4
230000,1198,192,4,7,12,под самоотделку (ПСО),3
86250,1150,75,2,5,12,под самоотделку (ПСО),3
140400,1300,108,3,8,15,под самоотделку (ПСО),3
39500,1274,31,1,1,4,евроремонт,4
89489,810,110,3,6,14,под самоотделку (ПСО),3
41250,750,55,1,11,16,под самоотделку (ПСО),3
49600,1102,45,1,12,12,евроремонт,4
54250,1000,54,1,6,9,хорошее,2
197200,1700,116,3,9,15,под самоотделку (ПСО),3
90892,1240,73,2,15,19,под самоотделку (ПСО),3
25000,595,42,1,4,5,под самоотделку (ПСО),3
165000,825,200,5,5,6,хорошее,2
80000,800,100,3,9,9,хорошее,2
29000,763,38,1,11,14,под самоотделку (ПСО),3
62480,710,88,3,9,14,под самоотделку (ПСО),3
63960,780,82,2,7,16,под самоотделку (ПСО),3
48240,720,67,2,7,14,под самоотделку (ПСО),3
84500,1122,75,3,6,9,евроремонт,4
84500,1056,80,2,2,10,евроремонт,4
57999,1184,49,2,6,9,среднее,1
58930,710,83,3,8,14,под самоотделку (ПСО),3
55200,800,69,2,13,16,под самоотделку (ПСО),3
550000,9042,61,2,9,14,под самоотделку (ПСО),3
108550,835,130,3,8,14,под самоотделку (ПСО),3
110220,835,132,3,4,14,под самоотделку (ПСО),3
39500,823,48,1,9,10,под самоотделку (ПСО),3
40600,967,42,1,3,5,среднее,1
67500,974,69,2,10,10,евроремонт,4
46400,800,58,1,14,16,под самоотделку (ПСО),3
72000,972,74,2,6,10,евроремонт,4
180000,1406,128,3,8,10,хорошее,2
115230,835,138,4,7,14,под самоотделку (ПСО),3
119000,1190,100,3,7,16,хорошее,2
95000,1044,91,3,12,12,хорошее,2
56000,1143,49,2,4,5,хорошее,2
62700,825,76,2,12,15,хорошее,2
300000,2679,112,3,7,8,евроремонт,4
105000,1082,97,3,1,12,евроремонт,4
50000,1163,43,1,7,18,хорошее,2
63700,838,76,2,7,14,под самоотделку (ПСО),3
75000,1667,45,2,9,12,евроремонт,4
119000,1133,105,3,6,16,под самоотделку (ПСО),3
150000,1250,120,3,12,13,хорошее,2
82000,1242,66,2,12,12,евроремонт,4
41000,1108,37,1,6,8,под самоотделку (ПСО),3
38000,819,46,1,2,10,хорошее,2
60000,1176,51,2,2,5,хорошее,2
145000,863,168,4,2,10,евроремонт,4
49000,875,56,2,4,9,под самоотделку (ПСО),3
75000,882,85,3,10,10,хорошее,2
53000,1325,40,1,1,10,евроремонт,4
97000,1347,72,2,4,12,евроремонт,4
104000,825,126,4,4,9,евроремонт,4
45000,750,60,2,3,14,под самоотделку (ПСО),3
38844,900,43,1,5,12,под самоотделку (ПСО),3
54000,900,60,2,5,5,евроремонт,4
35500,612,58,2,3,10,под самоотделку (ПСО),3
60000,923,65,4,6,9,среднее,1
65000,844,77,2,5,12,среднее,1
118000,1372,86,2,10,12,евроремонт,4
52560,730,72,2,2,10,под самоотделку (ПСО),3
147000,1176,125,3,5,12,хорошее,2
66000,1535,43,2,8,10,хорошее,2
61000,1052,58,3,5,5,хорошее,2
48800,1356,36,1,6,9,среднее,1
16500,917,18,1,3,5,среднее,1
49800,1158,43,2,2,4,среднее,1
15000,909,16,1,2,5,среднее,1
87000,1006,86,3,5,10,хорошее,2
190000,868,219,4,7,8,евроремонт,4
98500,1026,96,5,4,6,хорошее,2
86000,1147,75,3,1,5,хорошее,2
87000,1088,80,2,7,10,хорошее,2
36000,1125,32,1,2,3,хорошее,2
50500,1174,43,2,3,4,среднее,1
186500,1776,105,4,5,12,евроремонт,4
155000,1703,91,3,7,10,евроремонт,4
115000,1162,99,3,10,10,евроремонт,4
62500,1096,57,3,4,4,евроремонт,4
74500,1221,61,2,6,14,под самоотделку (ПСО),3
315000,900,350,6 и более,8,9,хорошее,2
29000,1036,28,1,5,5,хорошее,2
55000,1250,44,1,10,13,евроремонт,4
62000,1069,58,3,1,4,хорошее,2
84500,1056,80,2,2,10,хорошее,2
103000,1288,80,4,8,10,евроремонт,4
85000,1232,69,3,1,9,евроремонт,4
89000,1099,81,2,7,10,евроремонт,4
50500,1050,48,1,6,12,под самоотделку (ПСО),3
60000,1034,58,2,5,10,среднее,1
114000,991,115,3,9,10,под самоотделку (ПСО),3
37000,1000,37,2,5,5,среднее,1
143000,1014,141,4,9,14,под самоотделку (ПСО),3
75000,1000,75,2,6,9,хорошее,2
53000,1233,43,2,3,5,хорошее,2
48500,882,55,2,6,8,под самоотделку (ПСО),3
89500,809,111,3,6,14,под самоотделку (ПСО),3
45000,1000,45,1,6,12,под самоотделку (ПСО),3
95000,1195,80,2,7,10,хорошее,2
128000,1306,98,4,5,9,среднее,1
79500,803,99,3,3,14,евроремонт,4
57000,1295,44,2,1,4,евроремонт,4
124500,899,138,3,9,9,евроремонт,4
149000,1802,83,2,7,13,евроремонт,4
45000,1264,36,1,1,9,под самоотделку (ПСО),3
88500,843,105,2,3,4,под самоотделку (ПСО),3
49500,1500,33,1,2,9,среднее,1
38000,1152,33,1,2,9,хорошее,2
105000,1680,62,2,10,13,хорошее,2
51000,1000,51,1,3,9,хорошее,2
36500,1061,34,1,1,5,хорошее,2
76000,1070,71,2,5,5,хорошее,2
54000,1256,43,2,4,4,хорошее,2
40400,1351,30,1,5,5,среднее,1
61000,772,79,2,4,9,хорошее,2
27200,697,39,1,4,4,под самоотделку (ПСО),3
81500,807,101,3,7,9,евроремонт,4
91500,1188,77,2,3,12,евроремонт,4
44800,1018,44,2,2,2,хорошее,2
72000,1161,62,3,1,5,среднее,1
86500,1246,69,3,1,9,хорошее,2
106000,1738,61,2,6,9,под самоотделку (ПСО),3
48000,1091,44,1,4,9,под самоотделку (ПСО),3
52500,1193,44,2,1,4,евроремонт,4
58500,1245,47,1,12,12,хорошее,2
48000,1000,48,1,2,12,евроремонт,4
46500,1157,40,2,4,4,евроремонт,4
66000,1522,43,2,8,10,хорошее,2
68000,1360,50,1,13,15,хорошее,2
57500,1065,54,2,5,5,хорошее,2
135000,1439,94,4,5,9,под самоотделку (ПСО),3
66500,1108,60,2,5,5,евроремонт,4
48000,863,56,2,4,9,евроремонт,4
63000,1016,62,2,5,10,среднее,1
54000,717,75,4,4,4,хорошее,2
65000,1585,41,1,9,12,евроремонт,4
59000,1157,51,1,6,11,евроремонт,4
57000,1086,52,2,9,9,среднее,1
58000,1450,40,1,2,9,евроремонт,4
47500,1131,42,1,1,10,евроремонт,4
51000,1000,51,1,2,9,хорошее,2
73000,1043,70,2,7,10,хорошее,2
65000,1043,62,2,12,13,под самоотделку (ПСО),3
134000,1008,133,4,12,12,под самоотделку (ПСО),3
117000,1170,100,3,6,12,среднее,1
110000,1102,100,3,7,9,евроремонт,4
66500,1018,65,2,3,9,евроремонт,4
165000,1269,130,3,15,15,хорошее,2
147000,1176,125,3,5,12,под самоотделку (ПСО),3
105000,938,112,3,5,5,под самоотделку (ПСО),3
56000,1302,43,2,4,4,под самоотделку (ПСО),3
49500,1151,43,2,4,4,хорошее,2
54000,942,57,2,2,14,под самоотделку (ПСО),3
65000,1161,56,2,1,9,хорошее,2
49500,1062,47,2,2,4,хорошее,2
38500,1328,29,1,1,3,евроремонт,4
60000,1200,50,2,4,5,хорошее,2
78000,1147,68,2,10,10,хорошее,2
26000,667,39,1,2,5,под самоотделку (ПСО),3
32000,667,48,1,7,10,евроремонт,4
240000,1426,168,4,5,9,под самоотделку (ПСО),3
80000,1379,58,2,2,12,под самоотделку (ПСО),3
225000,1372,164,6 и более,3,3,под самоотделку (ПСО),3
101000,1202,84,2,2,9,евроремонт,4
67500,1274,53,2,2,9,под самоотделку (ПСО),3
250000,2000,125,4,2,13,хорошее,2
61000,1052,58,3,5,5,хорошее,2
67500,804,84,2,9,9,хорошее,2
115000,935,123,4,4,5,хорошее,2
63500,992,64,3,6,9,под самоотделку (ПСО),3
48000,1200,40,1,8,12,хорошее,2
81000,1350,60,3,1,9,среднее,1
99000,1291,77,3,6,11,евроремонт,4
68000,1417,48,2,5,5,хорошее,2
169000,1657,102,3,3,3,евроремонт,4
84500,1154,73,2,11,12,евроремонт,4
109000,1059,103,3,1,10,евроремонт,4
81000,871,93,3,11,12,под самоотделку (ПСО),3
58000,1208,48,1,10,12,евроремонт,4
50000,1250,40,1,8,10,среднее,1
57000,1149,50,2,3,4,хорошее,2
56000,1143,49,1,9,12,под самоотделку (ПСО),3
56500,1284,44,1,10,12,под самоотделку (ПСО),3
77000,1013,76,2,9,9,евроремонт,4
60000,1034,58,3,2,4,среднее,1
52500,1221,43,1,7,10,хорошее,2
35000,627,56,2,9,9,под самоотделку (ПСО),3
97000,1366,71,3,4,4,евроремонт,4
145000,1295,112,4,3,12,хорошее,2
68000,1133,60,3,2,9,евроремонт,4
77500,1384,56,2,1,5,хорошее,2
53760,750,72,3,5,10,под самоотделку (ПСО),3
135000,1063,127,3,2,10,хорошее,2
124000,1771,70,2,7,14,евроремонт,4
85000,1052,81,2,2,14,под самоотделку (ПСО),3
93800,980,96,2,9,12,под самоотделку (ПСО),3
109889,1070,103,3,12,16,под самоотделку (ПСО),3
100000,1342,74,2,5,12,евроремонт,4
54000,931,58,2,7,7,евроремонт,4
88000,1054,83,2,12,12,хорошее,2
96500,1060,91,3,12,12,евроремонт,4
33000,902,37,1,3,12,под самоотделку (ПСО),3
54000,1102,49,2,1,8,под самоотделку (ПСО),3
75000,1210,62,3,2,5,хорошее,2
90000,1125,80,2,7,10,евроремонт,4
132000,1086,122,3,8,17,евроремонт,4
130000,1182,110,2,7,10,под самоотделку (ПСО),3
52500,1500,35,1,5,9,под самоотделку (ПСО),3
30500,681,45,1,14,16,евроремонт,4
53500,1163,46,1,1,9,хорошее,2
97500,1108,88,3,13,13,под самоотделку (ПСО),3
128000,1280,100,4,5,9,хорошее,2
97000,990,98,4,3,4,хорошее,2
59000,937,63,2,5,9,хорошее,2
80000,650,123,3,10,11,евроремонт,4
68900,830,83,2,4,5,евроремонт,4
75000,1210,62,2,3,9,евроремонт,4
57000,1140,50,2,7,10,евроремонт,4
39999,800,50,2,2,3,евроремонт,4
51000,1062,48,2,2,10,евроремонт,4
41500,1064,39,1,3,5,евроремонт,4
128000,800,160,4,4,16,хорошее,2
32000,744,43,2,3,20,под самоотделку (ПСО),3
36800,876,42,1,5,9,под самоотделку (ПСО),3
75500,1007,75,2,3,9,евроремонт,4
91500,915,100,3,9,9,хорошее,2
63000,1050,60,2,7,9,хорошее,2
82500,1019,81,4,3,9,хорошее,2
68000,1079,63,3,1,5,под самоотделку (ПСО),3
49000,1361,36,1,6,9,евроремонт,4
58500,1064,55,3,5,5,хорошее,2
59500,1352,44,1,8,12,евроремонт,4
61000,1089,56,2,3,5,хорошее,2
49500,952,52,2,4,5,хорошее,2
66000,1179,56,3,1,5,хорошее,2
113000,1256,90,3,5,9,хорошее,2
43500,1012,43,2,2,2,хорошее,2
95000,779,122,3,6,12,под самоотделку (ПСО),3
109000,1282,85,2,7,10,хорошее,2
63000,1370,46,1,8,12,хорошее,2
114000,991,115,4,9,10,евроремонт,4
139500,996,140,3,3,6,хорошее,2
69000,1113,62,2,2,5,хорошее,2
67500,1164,58,3,4,5,хорошее,2
67000,1117,60,2,2,9,хорошее,2
55000,1250,44,1,10,13,хорошее,2
66000,1158,57,2,3,9,среднее,1
57000,1056,54,2,4,9,среднее,1
58500,873,67,2,9,9,евроремонт,4
58500,1064,55,3,5,5,евроремонт,4
160000,1818,88,2,7,13,евроремонт,4
69000,986,70,3,9,9,хорошее,2
74000,1213,61,2,6,14,под самоотделку (ПСО),3
83000,1137,73,3,6,9,евроремонт,4
36000,1200,30,1,1,3,хорошее,2
79000,1039,76,3,3,6,хорошее,2
48000,941,51,2,7,15,под самоотделку (ПСО),3
70500,1137,62,2,5,12,хорошее,2
300000,2308,130,3,8,9,евроремонт,4
36550,850,43,1,5,16,под самоотделку (ПСО),3
72000,1064,68,3,2,5,евроремонт,4
51500,1051,49,1,8,18,среднее,1
63500,882,72,2,11,12,под самоотделку (ПСО),3
75500,878,86,2,6,12,хорошее,2
57500,958,60,2,1,12,под самоотделку (ПСО),3
42000,875,48,1,5,5,под самоотделку (ПСО),3
89500,799,112,4,9,13,под самоотделку (ПСО),3
112200,1100,102,3,12,14,под самоотделку (ПСО),3
125000,1786,70,2,7,14,евроремонт,4
55000,714,77,2,12,12,под самоотделку (ПСО),3
81500,1032,79,2,1,12,евроремонт,4
53999,1174,46,1,10,10,евроремонт,4
81500,1032,79,2,1,12,среднее,1
66500,756,88,3,9,14,под самоотделку (ПСО),3
37500,1172,32,1,4,5,среднее,1
62000,1069,58,3,4,5,под самоотделку (ПСО),3
87500,781,112,4,6,13,под самоотделку (ПСО),3
135000,1227,110,4,8,12,евроремонт,4
82000,1173,70,3,6,7,хорошее,2
58500,1064,55,3,5,5,под самоотделку (ПСО),3
185000,1000,185,4,10,11,евроремонт,4
47000,618,76,2,9,10,под самоотделку (ПСО),3
83000,1122,74,3,6,9,хорошее,2
130000,1548,84,3,9,10,хорошее,2
63000,1033,61,3,2,5,евроремонт,4
270000,1286,210,4,3,6,евроремонт,4
85000,850,100,3,4,9,евроремонт,4
88000,1060,83,3,5,16,под самоотделку (ПСО),3
52000,1238,42,1,7,12,евроремонт,4
62000,969,64,2,8,12,евроремонт,4
62000,886,70,2,6,9,под самоотделку (ПСО),3
105000,1000,105,4,3,9,евроремонт,4
100000,1020,98,3,6,9,под самоотделку (ПСО),3
115000,1855,62,3,8,12,евроремонт,4
95000,1044,91,3,12,12,евроремонт,4
49500,1125,44,2,1,4,хорошее,2
57500,833,69,3,12,12,под самоотделку (ПСО),3
42000,955,44,1,8,12,под самоотделку (ПСО),3
52000,1083,48,2,2,5,среднее,1
68900,1188,58,3,1,4,хорошее,2
70000,1207,58,3,2,4,евроремонт,4
127000,1512,84,3,9,10,евроремонт,4
77000,1100,70,1,5,6,евроремонт,4
64800,953,68,3,9,9,хорошее,2
70500,1216,58,2,3,4,евроремонт,4
36000,857,42,1,14,14,евроремонт,4
64800,820,79,2,8,10,хорошее,2
56600,1258,45,1,8,12,евроремонт,4
56800,1072,53,2,9,9,среднее,1
46800,975,48,2,5,5,хорошее,2
60600,1063,57,2,8,10,хорошее,2
47300,1100,43,1,5,9,евроремонт,4
48600,1080,45,1,2,10,среднее,1
112800,1200,94,2,9,13,под самоотделку (ПСО),3
64240,880,73,2,7,9,под самоотделку (ПСО),3
46500,1107,42,2,2,4,хорошее,2
47000,855,55,2,3,12,под самоотделку (ПСО),3
49000,1361,36,1,6,9,среднее,1
173000,1036,167,4,3,9,среднее,1
59500,875,68,2,10,15,под самоотделку (ПСО),3
68500,1105,62,3,1,5,хорошее,2
57000,983,58,3,1,4,хорошее,2
68200,1240,55,2,2,9,евроремонт,4
77015,730,106,3,10,12,под самоотделку (ПСО),3
41000,1281,32,1,4,4,среднее,1
170000,1030,165,3,7,10,евроремонт,4
256000,1600,160,4,6,8,под самоотделку (ПСО),3
57500,1085,53,1,13,14,под самоотделку (ПСО),3
129000,811,159,4,4,12,под самоотделку (ПСО),3
265000,2137,124,3,5,12,евроремонт,4
56000,1120,50,2,7,10,евроремонт,4
92000,939,98,5,8,9,хорошее,2
56000,966,58,3,3,4,среднее,1
65000,833,78,3,7,9,евроремонт,4
85000,1049,81,3,10,10,евроремонт,4
155000,1490,104,3,13,13,евроремонт,4
146000,1217,120,3,12,13,евроремонт,4
69500,979,71,2,1,9,евроремонт,4
32000,615,52,3,4,4,среднее,1
56000,1120,50,2,7,9,евроремонт,4
101970,990,103,3,2,14,под самоотделку (ПСО),3
103000,1000,103,3,2,14,под самоотделку (ПСО),3
95000,841,113,3,4,12,под самоотделку (ПСО),3
185000,1156,160,4,5,5,евроремонт,4
40000,800,50,1,7,9,под самоотделку (ПСО),3
360000,893,403,6 и более,15,15,под самоотделку (ПСО),3
148000,1233,120,3,12,13,евроремонт,4
179000,1584,113,2,3,10,евроремонт,4
68000,850,80,2,13,14,под самоотделку (ПСО),3
36850,670,55,2,4,10,под самоотделку (ПСО),3
132000,1200,110,3,10,20,под самоотделку (ПСО),3
52500,500,105,4,9,10,под самоотделку (ПСО),3
82500,1250,66,2,1,4,под самоотделку (ПСО),3
35100,450,78,3,3,5,под самоотделку (ПСО),3
233000,1214,192,4,7,12,под самоотделку (ПСО),3
110000,1068,103,3,10,10,евроремонт,4
82000,1025,80,4,2,9,хорошее,2
126000,962,131,3,11,11,евроремонт,4
115000,1009,114,3,7,9,евроремонт,4
82000,1025,80,4,2,9,евроремонт,4
102120,690,148,3,3,10,под самоотделку (ПСО),3
39000,1219,32,1,1,4,хорошее,2
79800,1036,77,2,8,10,хорошее,2
88500,1106,80,2,4,12,евроремонт,4
33700,802,42,1,5,9,под самоотделку (ПСО),3
82000,1025,80,4,2,9,евроремонт,4
66000,990,67,2,4,14,под самоотделку (ПСО),3
111550,970,115,3,10,13,под самоотделку (ПСО),3
62500,1008,62,3,9,9,хорошее,2
84500,1207,70,3,3,5,среднее,1
75000,1087,69,2,4,10,евроремонт,4
48800,1394,35,1,6,9,хорошее,2
51500,1073,48,2,6,9,евроремонт,4
27500,982,28,2,2,2,евроремонт,4
48800,1162,42,2,3,4,хорошее,2
99000,925,107,3,4,13,под самоотделку (ПСО),3
47500,1105,43,2,4,5,хорошее,2
40500,1191,34,1,7,9,под самоотделку (ПСО),3
133000,760,175,5,4,6,хорошее,2
145000,1051,138,3,8,13,евроремонт,4
114000,987,116,3,9,10,евроремонт,4
100000,1000,100,3,5,5,хорошее,2
114000,991,115,3,9,10,евроремонт,4
115000,1085,106,3,2,10,хорошее,2
139000,993,140,3,3,6,хорошее,2
99500,1327,75,2,5,10,евроремонт,4
160000,1231,130,4,4,9,хорошее,2
